instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,code,sem,title,iscross
"Aissa,Abderrahman",.MTWRF. 08:50AM-09:40AM;,FISK404;,18,0,0,3,NA,0,0,9,9,FALSE,ARAB101,Fall2017,Elementary Arabic I,FALSE
"Aissa,Abderrahman",.MTWR.. 10:50AM-11:40AM;,FISK410;,18,0,0,10,NA,5,4,6,3,FALSE,ARAB201,Fall2017,Intermediate Arabic I,FALSE
"Aissa,Abderrahman",.M.W.F. 11:50AM-12:40PM;,FISK404;,15,0,0,10,NA,6,6,3,0,FALSE,ARAB301,Fall2017,Advanced Arabic I,FALSE
"Aissa,Abderrahman",.MTWRF. 08:50AM-09:40AM;,FISK404;,18,0,0,5,NA,0,0,9,9,FALSE,ARAB102,Spring2018,Elementary Arabic II,FALSE
"Aissa,Abderrahman",.MTWR.. 11:50AM-12:40PM;,FISK404;,18,0,0,13,NA,0,6,10,2,FALSE,ARAB202,Spring2018,Intermediate Arabic II,FALSE
"Masters,Bruce A.",.M.W.F. 08:50AM-09:40AM;,FISK210;,12,0,0,4,NA,5,5,2,0,FALSE,ARAB311,Spring2018,Introduction to Colloquial Levantine Arabic I,FALSE
"Katz,Melissa R.",..T.R.. 02:50PM-04:10PM;,FISK305;,15,NA,NA,1,NA,NA,NA,NA,15,FALSE,FIST126,Fall2017,El Greco to Picasso: Modern Art's Passion for Golden Age Spain,TRUE
"Katz,Melissa R.",.M.W... 01:20PM-02:40PM;,BOGH112;,15,NA,NA,4,NA,NA,NA,NA,15,FALSE,ARHA135,Fall2017,Medicine and Art: Viewing the Medieval Body,TRUE
"Birney,Kate",..T.R.. 02:50PM-04:10PM;,FISK210;,16,5,5,3,NA,3,3,0,0,FALSE,CCIV283,Fall2017,Off with its Pedestal! The Greek Vase as Art and Artifact,TRUE
"Parslow,Christopher",.M.W... 02:50PM-04:10PM;,FISK302;,48,5,5,34,NA,5,9,9,15,FALSE,CCIV223,Fall2017,Survey of Roman Archaeology and Art,TRUE
"Aksamija,Nadja",..T.R.. 10:20AM-11:40AM;,BOGH112;,25,4,3,-1,NA,2,2,7,7,FALSE,ARHA221,Fall2017,Early Renaissance Art and Architecture in Italy,TRUE
"Aksamija,Nadja",..T.R.. 01:20PM-02:40PM;,BOGH112;,25,3,4,-2,NA,2,2,7,7,FALSE,ARHA233,Fall2017,Art and Culture of the Italian Baroque,FALSE
"Siry,Joseph M.",.M.W... 10:50AM-12:10PM;,BOGH112;,35,5,5,4,NA,5,5,10,5,FALSE,ARHA244,Fall2017,"European Architecture and Urbanism, 1750-1910",TRUE
"Wagoner,Phillip B.",...W.F. 10:50AM-12:10PM; ...W... 07:10PM-10:00PM;,BOGH110;  BOGH110;,25,5,5,9,NA,5,5,5,0,FALSE,ARHA290,Fall2017,Mahabharata and Ramayana: The Sanskrit Epics and Indian Visual Culture,FALSE
"Mark,Peter A.",..T.R.. 08:50AM-10:10AM;,BOGH112;,19,7,4,2,NA,3,3,2,0,FALSE,ARHA299,Fall2017,African History and Art,TRUE
"Mark,Peter A.",...W... 01:20PM-04:10PM;,BOGH113;,16,4,4,6,NA,4,4,0,0,FALSE,AFAM310,Fall2017,"Iberian Expansion and the ""Discovery"" of Africa in Travel Narratives and Art, 1420--1640",TRUE
"Siry,Joseph M.",.M.W... 02:50PM-04:10PM;,BOGH110;,19,4,4,-5,NA,4,4,3,0,FALSE,ENVS352,Fall2017,"Energy and Modern Architecture, 1850--2015",TRUE
